gene_id	log2FoldChange	pvalue
G685	-0.810015235	0.004027521
G686	0.486166821	0.004037491
G687	0.524166921	0.004047946
G688	0.873702609	0.004060999
G689	5.464394137	0.004063876
G690	-0.672165905	0.004066189
G691	0.545627545	0.004067146
G692	0.799865744	0.004086985
G693	0.89123802	0.00409948
G694	-0.59797987	0.004109618
G695	-2.191349615	0.00411999
G696	0.514943122	0.004131842
G697	0.611914073	0.004139009
G698	-0.587728625	0.004141557
G699	-0.645661693	0.004151744
G700	-0.592018343	0.004163818
G701	1.042178783	0.004164185
G702	-0.615712455	0.004183863
G703	0.572532852	0.004196221
G704	0.666506941	0.004227554
G705	-4.854899756	0.004240387
G706	0.531300752	0.004246035
G707	0.585001628	0.00424908
G708	0.56326196	0.004279391
G709	-0.978963396	0.004280131
G710	0.538893748	0.004281304
G711	0.514610162	0.004295558
G712	1.545595855	0.004315321
G713	-1.167876174	0.004315493
G714	0.836839598	0.004320391
G715	0.545390356	0.004321383
G716	-0.76948014	0.00433164
G717	1.079288393	0.004348344
G718	0.582782589	0.004379042
G719	-1.23345706	0.004396963
G720	0.537922948	0.004402599
G721	-0.575264453	0.004418749
G722	1.435875122	0.004421583
G723	-0.671775671	0.004421656
G724	0.55522305	0.004422687
G725	-2.454627029	0.004439272
G726	0.508248114	0.004441981
G727	-1.103925613	0.004460782
G728	0.522234688	0.004461111
G729	-0.771901596	0.004506891
G730	-0.620000442	0.004527155
G731	0.674692218	0.004540947
G732	-4.732589363	0.004546814
G733	0.630454449	0.00454843
G734	-0.951821703	0.00455008
G735	-5.427525495	0.004557043
G736	0.432865111	0.004568517
G737	-0.480719639	0.004577724
G738	4.430104809	0.004590795
G739	-0.769634531	0.004606292
G740	-0.751073578	0.004621788
G741	0.926118863	0.00462344
G742	0.661448265	0.004628349
G743	-3.362246287	0.004632694
G744	-0.804224383	0.004643251
G745	0.526899489	0.004662131
G746	0.411674096	0.004699974
G747	0.619139376	0.004703628
G748	-0.61339562	0.004705102
G749	0.757671214	0.004706602
G750	0.520051592	0.00471227
G751	1.232052949	0.004721651
G752	-1.282113695	0.004721886
G753	0.44390447	0.004724486
G754	-0.793502053	0.004725413
G755	-1.260359237	0.004726228
G756	0.540896794	0.004745521
G757	1.619559223	0.004764193
G758	-1.137330924	0.004770929
G759	1.4682708	0.004777779
G760	-2.2050366	0.004784491
G761	-0.797775042	0.004794937
G762	2.026299363	0.004829396
G763	-1.551784986	0.004833038
G764	0.626743298	0.004834096
G765	0.549167869	0.004838657
G766	-0.844445394	0.004860243
G767	-0.644526609	0.004866806
G768	-0.724731136	0.004874053
G769	-0.874890521	0.004876523
G770	1.84650085	0.004893051
G771	-1.190631575	0.004903453
G772	0.612140899	0.004918093
G773	-0.898946455	0.00491898
G774	-0.75095414	0.004934243
G775	5.509817758	0.004960919
G776	-0.976455677	0.00496176
G777	0.44343505	0.00497088
G778	-2.210735862	0.004972183
G779	0.492879843	0.004974858
G780	-1.090494014	0.004980173
G781	0.640316988	0.004981121
G782	0.492988789	0.004983029
G783	-1.023657253	0.005001891
G784	1.085946201	0.005004922
G785	0.508828999	0.005010071
G786	0.569169591	0.005031437
G787	-0.787716985	0.005037278
G788	-1.331283319	0.00505583
G789	1.388055511	0.00508428
G790	-0.884266041	0.005089694
G791	-0.970157718	0.005089863
G792	-1.359624518	0.005094336
G793	0.518273736	0.005095077
G794	1.708623862	0.00510556
G795	0.849332321	0.005113336
G796	0.438911509	0.005115766
G797	-0.758514093	0.005141677
G798	0.804415067	0.005144859
G799	-0.616969667	0.005145359
G800	-1.144878421	0.005166604
G801	0.828798514	0.005169373
G802	0.490112052	0.005235455
G803	0.529710788	0.005236515
G804	0.603121677	0.005243897
G805	0.779345211	0.005247004
G806	-0.549371894	0.005254076
G807	-0.690451069	0.005254414
G808	-1.671168907	0.005257107
G809	1.125956404	0.00526153
G810	0.652336004	0.005266194
G811	-1.828175215	0.005312257
G812	0.517974487	0.005315216
G813	-3.036462302	0.005315484
G814	-0.728987343	0.005330008
G815	1.761716516	0.005361179
G816	-0.538678585	0.005369934
G817	-0.608483363	0.005371938
G818	0.688963572	0.005388
G819	2.268932185	0.005397386
G820	-3.591909451	0.005398618
G821	0.603876147	0.00540401
G822	-0.739062115	0.005406991
G823	-3.757289551	0.005460658
G824	0.840902996	0.005465859
G825	0.436239785	0.005503058
